ts,batch,event,file,rows_before,rows_after,detail
2026-04-04 15:46:16 UK,GEN,SEASON_2526_GENERATED,season_2025_26.json,0,14660,
2026-04-04 15:46:26 UK,GEN,SEASON_2425_GENERATED,season_2024_25.json,0,23144,
2026-04-04 15:46:26 UK,GEN,GENERATE_COMPLETE,,0,0,elapsed=1210s
2026-04-04 15:58:18 UK,B0,BATCH_START,,0,0,grading_date=2026-04-03
2026-04-04 15:58:30 UK,B0,BOXSCORES_FETCHED,,0,0,"202 rows, 240 players"
2026-04-04 15:58:31 UK,B0,BATCH_SUMMARY,,0,0,graded=0 wins=0 losses=0 dnp=0
2026-04-04 16:24:51 UK,B0,BATCH_COMPLETE,,0,0,grade_date=2026-04-03
2026-04-04 19:00:04 UK,B2,BATCH_START,,0,0,date=2026-04-04
2026-04-04 19:00:21 UK,B2,PROPS_FETCHED,,0,0,41 props
2026-04-04 19:00:22 UK,B2,PREDICTIONS,,0,0,"39 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
2026-04-04 19:00:43 UK,B2,BATCH_COMPLETE,,0,0,39 plays written
2026-04-04 21:02:39 UK,B3,BATCH_START,,0,0,date=2026-04-04
2026-04-04 21:33:35 UK,B3,PROPS_FETCHED,,0,0,41 props
2026-04-04 21:33:38 UK,B3,PREDICTIONS,,0,0,"39 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
2026-04-04 21:40:49 UK,B3,BATCH_COMPLETE,,0,0,39 plays written
2026-04-04 23:10:16 UK,B4,BATCH_START,,0,0,date=2026-04-04
2026-04-04 23:10:52 UK,B4,PROPS_FETCHED,,0,0,41 props
2026-04-04 23:10:54 UK,B4,PREDICTIONS,,0,0,"39 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
2026-04-05 00:05:13 UK,B4,BATCH_COMPLETE,,0,0,39 plays written
2026-04-05 08:15:45 UK,B0,BATCH_START,,0,0,grading_date=2026-04-04
2026-04-05 08:15:56 UK,B0,BOXSCORES_FETCHED,,0,0,"67 rows, 84 players"
2026-04-05 08:26:48 UK,B0,BATCH_SUMMARY,,0,0,graded=78 wins=42 losses=32 dnp=4
2026-04-05 09:33:34 UK,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,25016,25016,
2026-04-05 09:38:25 UK,B0,INTEGRITY_OK,nba_gamelogs_2025_26.csv,25016,25085,
2026-04-05 11:14:34 UK,B0,BATCH_COMPLETE,,0,0,grade_date=2026-04-04
2026-04-05 11:48:14 UK,B2,BATCH_START,,0,0,date=2026-04-05
2026-04-05 11:57:55 UK,B2,BATCH_START,,0,0,date=2026-04-05
2026-04-05 11:58:35 UK,B2,PROPS_FETCHED,,0,0,132 props
2026-04-05 11:58:38 UK,B2,PREDICTIONS,,0,0,"130 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
2026-04-05 11:59:02 UK,B2,BATCH_COMPLETE,,0,0,130 plays written
2026-04-05 12:00:02 UK,B2,BATCH_START,,0,0,date=2026-04-05
2026-04-05 12:00:15 UK,B2,PROPS_FETCHED,,0,0,132 props
2026-04-05 12:00:17 UK,B2,PREDICTIONS,,0,0,"130 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
